,lat,long,altitude
0,40.78966141,-77.85948515,358.228393554688
1,40.78963995,-77.85954952,358.228393554688
2,40.78961849,-77.85957098,357.747802734375
3,40.78953266,-77.85965681,353.421875
4,40.78957558,-77.85972118,356.786376953125
5,40.78968287,-77.8597641,354.383178710938
6,40.78979015,-77.8596139,351.499145507813
7,40.78983307,-77.8596139,357.747802734375
8,40.78987598,-77.85950661,360.151123046875
9,40.78996181,-77.85946369,357.747802734375
10,40.79011202,-77.85957098,350.057250976563
11,40.79015493,-77.85954952,353.902587890625
12,40.79015493,-77.85950661,357.747802734375
13,40.79021931,-77.85929203,352.460571289063
14,40.79024076,-77.85927057,352.941162109375
15,40.79036951,-77.85907745,352.460571289063
16,40.79036951,-77.85909891,343.327880859375
17,40.7904768,-77.85899162,342.847290039063
18,40.79064846,-77.8592062,346.212036132813
19,40.79069138,-77.85922766,345.731323242188
20,40.79079866,-77.85939932,344.77001953125
21,40.79101324,-77.85967827,346.692626953125
22,40.79101324,-77.85965681,346.692626953125
23,40.7911849,-77.85987139,347.173217773438
24,40.79133511,-77.86006451,347.653930664063
25,40.79161406,-77.85987139,344.77001953125
26,40.79172134,-77.8599143,343.80859375
27,40.79172134,-77.8599143,340.924682617188
28,40.79167843,-77.86004305,344.289428710938
29,40.7915926,-77.86015034,345.731323242188
30,40.79154968,-77.86036491,348.134643554688
31,40.79169989,-77.86055803,349.095825195313
32,40.79185009,-77.86075115,351.018432617188
33,40.79191446,-77.86081553,351.979858398438
34,40.79189301,-77.86083698,352.941162109375
35,40.79169989,-77.86060095,350.537841796875
36,40.79161406,-77.86045074,350.057250976563
37,40.7915926,-77.86045074,350.057250976563
38,40.79135656,-77.86012888,347.173217773438
39,40.79112053,-77.85982847,346.212036132813
40,40.79086304,-77.85950661,345.250610351563
41,40.79075575,-77.8593564,345.731323242188
42,40.79051971,-77.859056,346.212036132813
43,40.79045534,-77.85894871,348.134643554688
44,40.79045534,-77.85894871,352.941162109375
45,40.7903266,-77.85877705,349.095825195313
46,40.79017639,-77.85858393,350.057250976563
47,40.79019785,-77.85862684,352.941162109375
48,40.79034805,-77.85881996,351.979858398438
49,40.79024076,-77.85903454,350.537841796875
50,40.79021931,-77.859056,350.057250976563
51,40.79024076,-77.859056,351.499145507813
52,40.79021931,-77.859056,350.537841796875
53,40.79015493,-77.85914183,351.979858398438
54,40.79002619,-77.85931349,351.979858398438
55,40.78987598,-77.85952806,353.902587890625
56,40.78966141,-77.85972118,352.460571289063
57,40.78959703,-77.85957098,352.941162109375
58,40.78966141,-77.85950661,352.941162109375
